 ,Haplodiploidy,Eusociality
Tr_Oecones,0,0
Tr_Philopo,0,0
Tr_Philorh,0,0
Tr_Phrygane,0,0
Tr_Phryganop,0,0
Tr_Pisulii,0,0
Tr_Polycen,0,0
Tr_Psychom,0,0
Tr_Rhyacop,0,0
Tr_Sericos,0,0
Tr_Stenops,0,0
Tr_Tasimii,0,0
Tr_Uenoida,0,0
Tr_Xiphoce,0,0
Zoraptera,0,0
Zy_Lepidot,0,0
Zy_Lepisma,0,0
Zy_Nicolet,0,0
